row,candidate,chamber,incumbent,stateDist,candStem,lname,generalElec,party,nominateAdj,duckM,fname,state,candStemDIME,recipient.cfscore,dwdime,recipient.cfscore.dyn,district,gen.vote.pct,...1,avgIdeal,idealTwitter,idealWeb,twWeight,liberal,conservative,moderate,thetaExternal,thetaStart,sigmaStart,idealWebLibcon,seThetaWebLibcon,wordCountWebLibcon,idealTwitterLibcon,seThetaTwitterLibcon,wordCountTwitterLibcon,partyLeader,followersCampaign,followersOfficial,house,rep,webIdeal,twIdeal,prob,diff,year
420,Jim Costa,House,1,CA-16,CA-16-costa_jim-,costa,1,D,-0.191,-0.567084491,jim,CA,CA-16-costa_jim-,0.024,-0.655,-0.101,CA16,59.38,200,-0.5,-0.46,-0.55,0.56,0,0,0,-0.47,-0.467217667,0.5,-0.55,0.0645,817,-0.46,0.0152,12319,0,NA,22935,1,0,-0.55,-0.46,0.31,0.524,2020
421,Kevin Cookingham,House,0,CA-16,CA-16-cookingham_kevin-,cookingham,1,R,NA,NA,kevin,CA,CA-16-cookingham_kevin-,1.358,1.04,1.358,CA16,40.62,201,1.14,1.21,1.1,0.34,0,0,0,NA,1.034735001,0.5,1.1,0.0632,509,1.21,0.0266,3085,0,7990,NA,1,1,1.1,1.21,0.87,0.218,2020
422,Ritesh Tandon,House,0,CA-17,CA-17-tandon_ritesh-,tandon,1,R,NA,NA,ritesh,CA,CA-17-tandon_ritesh-,-0.302,-0.8,-0.318,CA17,28.65,204,0.95,1.31,0.89,0.14,0,0,0,NA,1.034735001,0.5,0.89,0.0237,4657,1.31,0.0157,8934,0,2932,NA,1,1,0.89,1.31,0.83,-1.252,2020
423,Ro Khanna,House,1,CA-17,CA-17-khanna_ro-,khanna,1,D,-0.586,-2.167294625,rohit,CA,CA-17-khanna_rohit-,-0.835,-1.256,-0.896,CA17,71.35,205,-1.22,-1.57,-1.04,0.34,1,0,0,-1.37,-1.365249827,0.5,-1.04,0.0204,7470,-1.57,0.0063,44977,0,239761,NA,1,0,-1.04,-1.57,0.11,0.385,2020
424,Anna Eshoo,House,1,CA-18,CA-18-eshoo_anna-,eshoo,1,D,-0.381,-1.465872553,anna,CA,CA-18-eshoo_anna-,-0.801,-1.158,-0.847,CA18,63.17,207,-1.11,-0.68,-1.19,0.16,0,0,0,-0.97,-0.970749364,0.5,-1.19,0.0319,2949,-0.68,0.0222,6556,0,665,NA,1,0,-1.19,-0.68,0.13,0.309,2020
425,Rishi Kumar,House,0,CA-18,CA-18-kumar_rishi-,kumar,1,D,NA,NA,rishi,CA,CA-18-kumar_rishi-,-0.508,-1.201,-0.577,CA18,36.83,210,-1.07,-1.13,-1.05,0.28,0,0,0,NA,-0.870059059,0.5,-1.05,0.0327,2801,-1.13,0.0152,12766,0,1428,NA,1,0,-1.05,-1.13,0.14,0.562,2020
426,Justin James Aguilera,House,0,CA-19,CA-19-aguilera_justinjames-,aguilera,1,R,NA,NA,justin,CA,CA-19-aguilera_justin-,0.975,NA,1.844,CA19,28.32,215,0.89,NA,0.89,0,0,0,0,NA,1.034735001,0.5,0.89,0.0875,211,NA,NA,NA,0,NA,NA,1,1,0.89,NA,0.81,0.085,2020
427,Zoe Lofgren,House,1,CA-19,CA-19-lofgren_zoe-,lofgren,1,D,-0.402,-1.971169942,zoe,CA,CA-19-lofgren_zoe-,-0.812,-1.204,-0.867,CA19,71.68,216,-1.24,-1.12,-1.3,0.35,1,0,0,-1.25,-1.250279275,0.5,-1.3,0.0508,813,-1.12,0.0228,5044,0,NA,NA,1,0,-1.3,-1.12,0.11,0.428,2020
428,Jeff Gorman,House,0,CA-20,CA-20-gorman_jeff-,gorman,1,R,NA,NA,jeff,CA,CA-20-gorman_jeff-,1.426,1.023,1.42,CA20,23.22,218,1.18,NA,1.18,0,0,0,0,NA,1.034735001,0.5,1.18,0.0919,258,NA,NA,NA,0,NA,NA,1,1,1.18,NA,0.88,0.246,2020
429,Jimmy Panetta,House,1,CA-20,CA-20-panetta_jimmy-,panetta,1,D,-0.304,-0.884662614,jimmy,CA,CA-20-panetta_jimmy-,-0.334,-0.898,-0.314,CA20,76.78,219,-0.51,-0.38,-0.78,0.67,0,0,0,-0.65,-0.646314543,0.5,-0.78,0.0468,1284,-0.38,0.0094,30650,0,1663,NA,1,0,-0.78,-0.38,0.31,0.176,2020
430,David Valadao,House,0,CA-21,CA-21-valadao_david-,valadao,1,R,NA,NA,david,CA,CA-21-valadao_david-,1.093,0.579,1.262,CA21,50.45,220,0.97,0.96,0.97,0.09,0,0,0,NA,1.034735001,0.5,0.97,0.0472,705,0.96,0.0524,861,0,8602,NA,1,1,0.97,0.96,0.83,0.123,2020
431,TJ Cox,House,1,CA-21,CA-21-cox_tj-,cox,1,D,-0.325,-0.650633773,terrance,CA,CA-21-cox_terrance-,-0.962,-1.004,-0.957,CA21,49.55,223,-0.42,-0.41,-0.43,0.74,0,0,0,-0.5,-0.501403315,0.5,-0.43,0.0536,993,-0.41,0.0093,33531,0,7592,NA,1,0,-0.43,-0.41,0.34,-0.542,2020
432,Devin Nunes,House,1,CA-22,CA-22-nunes_devin-,nunes,1,R,0.449,1.775264951,devin,CA,CA-22-nunes_devin-,1.382,1.055,1.416,CA22,54.23,226,1.73,1.73,NA,1,0,0,0,1.04,1.036502308,0.5,NA,NA,NA,1.73,0.0188,4122,0,1305154,NA,1,1,NA,1.73,0.96,-0.348,2020
433,Phil Arballo,House,0,CA-22,CA-22-arballo_phil-,arballo,1,D,NA,NA,phil,CA,CA-22-arballo_phil-,-1.042,-1.083,-1.043,CA22,45.77,228,-1.05,-1.2,-0.56,0.77,0,0,0,NA,-0.870059059,0.5,-0.56,0.0867,363,-1.2,0.0135,14086,0,256933,NA,1,0,-0.56,-1.2,0.15,0.008,2020
434,Kevin McCarthy,House,1,CA-23,CA-23-mccarthy_kevin-,mccarthy,1,R,0.459,1.670476704,kevin,CA,CA-23-mccarthy_kevin-,1.232,1.009,1.258,CA23,62.14,229,1.47,1.56,1.07,0.81,0,0,0,0.97,0.969657943,0.5,1.07,0.0568,546,1.56,0.0075,27524,1,74894,NA,1,1,1.07,1.56,0.93,-0.238,2020
435,Kim Mangone,House,0,CA-23,CA-23-mangone_kim-,mangone,1,D,NA,NA,kim,CA,CA-23-mangone_kim-,-1.067,-1.12,-1.067,CA23,37.86,230,-1.2,-1.28,-0.51,0.9,0,0,0,NA,-0.870059059,0.5,-0.51,0.0802,387,-1.28,0.0095,38863,0,265882,NA,1,0,-0.51,-1.28,0.12,0.133,2020
436,Andy Caldwell,House,0,CA-24,CA-24-caldwell_andy-,caldwell,1,R,NA,NA,james,CA,CA-24-caldwell_james-,1.332,1.476,1.332,CA24,41.34,231,1.17,1.47,1.14,0.08,0,0,0,NA,1.034735001,0.5,1.14,0.0676,374,1.47,0.0655,397,0,NA,NA,1,1,1.14,1.47,0.88,0.162,2020
437,Salud Carbajal,House,1,CA-24,CA-24-carbajal_salud-,carbajal,1,D,-0.3,-1.111596029,salud,CA,CA-24-carbajal_salud-,-0.874,-0.989,-0.865,CA24,58.66,233,-0.59,-0.59,-0.58,0.68,0,0,0,-0.76,-0.761430685,0.5,-0.58,0.0471,1309,-0.59,0.0095,32391,0,2289,NA,1,0,-0.58,-0.59,0.28,-0.284,2020
438,Christy Smith,House,0,CA-25,CA-25-smith_christy-,smith,1,D,NA,NA,christy,CA,CA-25-smith_christy-,-0.972,-0.913,-0.975,CA25,49.95,237,-0.72,-0.86,-0.55,0.55,0,0,0,NA,-0.870059059,0.5,-0.55,0.0533,977,-0.86,0.0144,13969,0,NA,NA,1,0,-0.55,-0.86,0.24,-0.252,2020
439,Mike Garcia,House,1,CA-25,CA-25-garcia_mike-,garcia,1,R,0.433,1.544232082,michael,CA,CA-25-garcia_michael-,1.404,0.808,1.435,CA25,NA,243,0.99,0.93,1.06,0.51,0,0,0,0.9,0.895977799,0.5,1.06,0.0644,598,0.93,0.0187,7349,0,48601,NA,1,1,1.06,0.93,0.84,0.414,2020
440,Julia Brownley,House,1,CA-26,CA-26-brownley_julia-,brownley,1,D,-0.286,-1.163959201,julia,CA,CA-26-brownley_julia-,-0.976,-0.973,-0.999,CA26,60.58,248,-0.64,-0.62,-0.81,0.88,0,0,0,-0.8,-0.796378642,0.5,-0.81,0.1059,251,-0.62,0.0116,21890,0,3732,NA,1,0,-0.81,-0.62,0.26,-0.336,2020
441,Ronda Baldwin-Kennedy,House,0,CA-26,CA-26-baldwin-kennedy_ronda-,kennedy,1,R,NA,NA,ronda,CA,CA-26-kennedy_ronda-,1.516,1.406,1.458,CA26,39.42,250,1.42,1.58,0.94,0.75,0,0,0,NA,1.034735001,0.5,0.94,0.0615,476,1.58,0.0104,16742,0,11181,NA,1,1,0.94,1.58,0.92,0.096,2020
442,Johnny Nalbandian,House,0,CA-27,CA-27-nalbandian_johnny-,nalbandian,1,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253,1.53,1.71,1.06,0.73,0,0,0,NA,1.034735001,0.5,1.06,0.053,722,1.71,0.0082,22944,0,20896,NA,1,1,1.06,1.71,0.94,NA,2020
443,Judy Chu,House,1,CA-27,CA-27-chu_judy-,chu,1,D,-0.487,-1.81788613,judy,CA,CA-27-chu_judy-,-0.627,-1.317,-0.692,CA27,69.78,254,-1.38,-1.38,NA,1,0,0,0,-1.17,-1.167301879,0.5,NA,NA,NA,-1.38,0.0105,18698,0,NA,77065,1,0,NA,-1.38,0.08,0.753,2020
444,Adam Schiff,House,1,CA-28,CA-28-schiff_adam-,schiff,1,D,-0.349,-1.30883996,adam,CA,CA-28-schiff_adam-,-0.964,-1.055,-0.984,CA28,72.66,255,-1.3,-1.46,-0.89,0.71,0,0,0,-0.89,-0.885917378,0.5,-0.89,0.0591,890,-1.46,0.0088,26081,0,507488,NA,1,0,-0.89,-1.46,0.1,0.336,2020
445,Eric Early,House,0,CA-28,CA-28-early_eric-,early,1,R,NA,NA,eric,CA,CA-28-early_eric-,1.427,1.218,1.45,CA28,27.34,258,1.25,1.63,1.14,0.23,0,0,0,NA,1.034735001,0.5,1.14,0.0454,1109,1.63,0.0196,3946,0,86772,NA,1,1,1.14,1.63,0.89,0.177,2020
446,Angelica Maria Dueñas,House,0,CA-29,CA-29-dueñas_angelicamaria-,duenas,1,D,NA,NA,angelica,CA,CA-29-duenas_angelica-,-1.104,-1.321,-1.127,CA29,43.39,263,-1.33,-1.67,-1.28,0.14,0,0,0,NA,-0.870059059,0.5,-1.28,0.0184,6547,-1.67,0.0112,12130,0,NA,NA,1,0,-1.28,-1.67,0.09,0.226,2020
447,Tony Cardenas,House,1,CA-29,CA-29-cardenas_tony-,cardenas,1,D,-0.382,-1.529834096,tony,CA,CA-29-cardenas_tony-,-0.462,-1.15,-0.465,CA29,56.61,266,-1.01,-1.05,-0.93,0.7,0,0,0,-1.01,-1.007910075,0.5,-0.93,0.0676,703,-1.05,0.0119,19298,0,746,NA,1,0,-0.93,-1.05,0.16,0.548,2020
448,Brad Sherman,House,1,CA-30,CA-30-sherman_brad-,sherman,1,D,-0.342,-1.364181176,brad,CA,CA-30-sherman_brad-,-0.503,-1.069,-0.537,CA30,69.48,267,-1.01,-1.03,-0.97,0.59,0,0,0,-0.92,-0.916363715,0.5,-0.97,0.0676,736,-1.03,0.0158,12413,0,NA,NA,1,0,-0.97,-1.03,0.16,0.507,2020
449,Mark Reed,House,0,CA-30,CA-30-reed_mark-,reed,1,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,1.19,1.52,0.98,0.39,0,0,0,NA,1.034735001,0.5,0.98,0.021,5787,1.52,0.0069,43451,0,NA,NA,1,1,0.98,1.52,0.88,NA,2020
450,Agnes Gibboney,House,0,CA-31,CA-31-gibboney_agnes-,gibboney,1,R,NA,NA,agnes,CA,CA-31-gibboney_agnes-,1.308,0.992,1.308,CA31,38.71,272,1.61,1.79,1.22,0.69,0,0,0,NA,1.034735001,0.5,1.22,0.0532,686,1.79,0.0087,17784,0,8051,NA,1,1,1.22,1.79,0.95,-0.302,2020
451,Pete Aguilar,House,1,CA-31,CA-31-aguilar_pete-,aguilar,1,D,-0.291,-1.165680761,pete,CA,CA-31-aguilar_pete-,-0.773,-0.966,-0.878,CA31,61.29,273,-0.45,-0.56,-0.38,0.37,0,0,0,-0.8,-0.796869142,0.5,-0.38,0.0583,799,-0.56,0.0222,5468,0,NA,NA,1,0,-0.38,-0.56,0.33,-0.323,2020
452,Grace Napolitano,House,1,CA-32,CA-32-napolitano_grace-,napolitano,1,D,-0.448,-1.700276408,grace,CA,CA-32-napolitano_grace-,-0.434,-1.247,-0.425,CA32,66.58,275,-0.98,-0.95,-1.05,0.73,0,0,0,-1.1,-1.098702129,0.5,-1.05,0.0907,330,-0.95,0.0168,10441,0,NA,NA,1,0,-1.05,-0.95,0.16,0.546,2020
453,Joshua Scott,House,0,CA-32,CA-32-scott_joshua-,scott,1,R,NA,NA,joshua,CA,CA-32-scott_joshua-,1.51,1.451,1.508,CA32,33.42,276,1.48,1.72,1.27,0.47,0,0,0,NA,1.034735001,0.5,1.27,0.0446,1055,1.72,0.0118,10985,0,3746,NA,1,1,1.27,1.72,0.93,0.03,2020
454,James Bradley,House,0,CA-33,CA-33-bradley_james-,bradley,1,R,NA,NA,james,CA,CA-33-bradley_james-,1.386,0.988,1.386,CA33,32.42,279,1.55,1.69,1.05,0.79,0,0,0,NA,1.034735001,0.5,1.05,0.0476,861,1.69,0.0062,37659,0,NA,NA,1,1,1.05,1.69,0.94,-0.164,2020
455,Ted Lieu,House,1,CA-33,CA-33-lieu_ted-,lieu,1,D,-0.371,-1.783356794,ted,CA,CA-33-lieu_ted-,-0.609,-1.131,-0.745,CA33,67.58,283,-1.29,-1.33,-1,0.88,0,0,0,-1.15,-1.14929376,0.5,-1,0.0876,439,-1.33,0.008,38505,0,1500095,NA,1,0,-1,-1.33,0.1,0.681,2020
456,David Kim,House,0,CA-34,CA-34-kim_david-,kim,1,D,NA,NA,david,CA,CA-34-kim_david-,-0.966,-1.353,-1,CA34,47.02,284,-1.24,-1.34,-1.2,0.31,0,0,0,NA,-0.870059059,0.5,-1.2,0.0197,6625,-1.34,0.0083,35479,0,NA,NA,1,0,-1.2,-1.34,0.11,0.274,2020
457,Jimmy Gomez,House,1,CA-34,CA-34-gomez_jimmy-,gomez,1,D,-0.593,-2.042052858,jimmy,CA,CA-34-gomez_jimmy-,-0.624,-1.354,-0.544,CA34,52.98,286,-1.22,-1.07,-1.44,0.6,1,0,0,-1.3,-1.295099934,0.5,-1.44,0.0255,2340,-1.07,0.0083,41123,0,15976,NA,1,0,-1.44,-1.07,0.11,0.596,2020
458,Mike Cargile,House,0,CA-35,CA-35-cargile_mike-,cargile,1,R,NA,NA,mike,CA,CA-35-cargile_mike-,1.354,1.718,1.306,CA35,30.67,289,1.23,1.58,1.16,0.17,0,0,0,NA,1.034735001,0.5,1.16,0.03,2278,1.58,0.0179,5421,0,5943,NA,1,1,1.16,1.58,0.89,0.124,2020
459,Norma Torres,House,1,CA-35,CA-35-torres_norma-,torres,1,D,-0.36,-1.33213877,norma,CA,CA-35-torres_norma-,-0.499,-1.116,-0.585,CA35,69.33,290,-0.88,-0.86,-1.09,0.9,0,0,0,-0.89,-0.890479119,0.5,-1.09,0.0845,340,-0.86,0.0095,34100,0,1893,NA,1,0,-1.09,-0.86,0.19,0.381,2020
460,Erin Cruz,House,0,CA-36,CA-36-cruz_erin-,cruz,1,R,NA,NA,erin,CA,CA-36-cruz_erin-,1.539,NA,1.514,CA36,39.66,291,1.48,1.59,1.03,0.8,0,0,0,NA,1.034735001,0.5,1.03,0.0437,797,1.59,0.0067,38688,0,89195,NA,1,1,1.03,1.59,0.93,0.059,2020
461,Errol Webber,House,0,CA-37,CA-37-webber_errol-,webber,1,R,NA,NA,errol,CA,CA-37-webber_errol-,1.471,1.286,1.445,CA37,14.06,295,1.66,1.71,1.15,0.91,0,0,0,NA,1.034735001,0.5,1.15,0.0869,309,1.71,0.0061,38581,0,135100,NA,1,1,1.15,1.71,0.95,-0.189,2020
462,Karen Bass,House,1,CA-37,CA-37-bass_karen-,bass,1,D,-0.585,-1.799911222,karen,CA,CA-37-bass_karen-,-0.895,-1.46,-0.93,CA37,85.94,296,-1.23,-1.34,-1.13,0.47,0,0,0,-1.16,-1.157603223,0.5,-1.13,0.0428,1386,-1.34,0.0126,14629,0,21877,NA,1,0,-1.13,-1.34,0.11,0.335,2020
463,Linda Sanchez,House,1,CA-38,CA-38-sanchez_linda-,sanchez,1,D,-0.508,-1.521797748,linda,CA,CA-38-sanchez_linda-,-0.654,-1.307,-0.695,CA38,74.34,298,-0.92,-0.93,-0.81,0.89,0,0,0,-1,-1.003387572,0.5,-0.81,0.1037,291,-0.93,0.0106,26506,0,NA,40420,1,0,-0.81,-0.93,0.18,0.266,2020
464,Michael Tolar,House,0,CA-38,CA-38-tolar_michael-,tolar,1,D,NA,NA,michael,CA,CA-38-tolar_michael-,-1.193,NA,-1.193,CA38,25.66,299,-0.94,-1.46,-0.62,0.38,0,0,0,NA,-0.870059059,0.5,-0.62,0.0875,408,-1.46,0.025,2986,0,627,NA,1,0,-0.62,-1.46,0.17,-0.253,2020
465,Gil Cisneros,House,1,CA-39,CA-39-cisneros_gil-,cisneros,1,D,-0.366,-0.70118403,gilbert,CA,CA-39-cisneros_gilbert-,-0.892,-1.065,-0.893,CA39,49.4,300,-0.53,-0.44,-0.58,0.36,0,0,0,-0.53,-0.532636434,0.5,-0.58,0.0224,6544,-0.44,0.0078,43934,0,16561,NA,1,0,-0.58,-0.44,0.3,-0.362,2020
466,Young Kim,House,0,CA-39,CA-39-kim_young-,kim,1,R,NA,NA,young,CA,CA-39-kim_young-,1.314,0.655,1.38,CA39,50.6,302,0.86,0.89,0.79,0.73,0,0,0,NA,1.034735001,0.5,0.79,0.0551,472,0.89,0.013,15179,0,30506,NA,1,1,0.79,0.89,0.81,0.454,2020
467,C. Antonio Delgado,House,0,CA-40,CA-40-delgado_cantonio-,delgado,1,R,NA,NA,antonio,CA,CA-40-delgado_antonio-,0.745,-0.076,0.963,CA40,27.26,304,0.9,NA,0.9,0,0,0,0,NA,1.034735001,0.5,0.9,0.0544,661,NA,NA,NA,0,NA,NA,1,1,0.9,NA,0.82,-0.155,2020
468,Lucille Roybal-Allard,House,1,CA-40,CA-40-roybal-allard_lucille-,roybal-allard,1,D,-0.47,-1.447919843,lucille,CA,CA-40-roybal-allard_lucille-,-0.557,-1.337,-0.676,CA40,72.74,306,-0.98,-0.87,-1.36,0.77,0,0,0,-0.95,-0.949489574,0.5,-1.36,0.0452,955,-0.87,0.01,37692,0,NA,30919,1,0,-1.36,-0.87,0.16,0.423,2020
469,Aja Smith,House,0,CA-41,CA-41-smith_aja-,smith,1,R,NA,NA,aja,CA,CA-41-smith_aja-,1.483,1.157,1.457,CA41,35.97,309,1.56,1.71,0.92,0.8,0,0,0,NA,1.034735001,0.5,0.92,0.0674,462,1.71,0.0083,22403,0,41799,NA,1,1,0.92,1.71,0.94,-0.077,2020
470,Mark Takano,House,1,CA-41,CA-41-takano_mark-,takano,1,D,-0.463,-1.7347826,mark,CA,CA-41-takano_mark-,-0.913,-1.253,-0.926,CA41,64.03,311,-1.16,-1.16,NA,1,0,0,0,-1.12,-1.117712087,0.5,NA,NA,NA,-1.16,0.0102,24738,0,2773,NA,1,0,NA,-1.16,0.12,0.247,2020
471,Ken Calvert,House,1,CA-42,CA-42-calvert_ken-,calvert,1,R,0.349,1.500160137,ken,CA,CA-42-calvert_ken-,0.855,0.747,0.787,CA42,57.13237711,312,0.91,0.94,0.67,0.87,0,0,0,0.86,0.861533147,0.5,0.67,0.0818,277,0.94,0.01,22265,0,807,NA,1,1,0.67,0.94,0.82,-0.055,2020
472,Liam O'Mara,House,0,CA-42,CA-42-omara_liam-,omara,1,D,NA,NA,william,CA,CA-42-omara_william-,-1.103,-1.25,-1.101,CA42,42.87,313,-1.14,-1.46,-1.02,0.27,0,0,0,NA,-0.870059059,0.5,-1.02,0.021,7031,-1.46,0.0085,30535,0,8593,NA,1,0,-1.02,-1.46,0.13,0.037,2020
473,Joe Collins,House,0,CA-43,CA-43-collinsiii_joe-,collins,1,R,NA,NA,joe,CA,CA-43-collins_joe-,1.544,1.239,1.545,CA43,28.32,315,1.21,1.44,0.84,0.62,0,0,0,NA,1.034735001,0.5,0.84,0.0794,399,1.44,0.0153,7774,0,92646,NA,1,1,0.84,1.44,0.89,0.334,2020
474,Maxine Waters,House,1,CA-43,CA-43-waters_maxine-,waters,1,D,-0.653,-1.55627488,maxine,CA,CA-43-waters_maxine-,-0.765,-1.58,-0.794,CA43,71.68,316,-1.5,-1.53,-1.48,0.46,0,0,0,-1.03,-1.030798922,0.5,-1.48,0.0479,646,-1.53,0.0168,6504,0,NA,1587138,1,0,-1.48,-1.53,0.07,0.735,2020
475,Analilia Joya,House,0,CA-44,CA-44-joya_analilia-,joya,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318,NA,NA,NA,NA,0,0,0,NA,-0.870059059,0.5,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,NA,NA,NA,NA,2020
476,Nanette Diaz Barragan,House,1,CA-44,CA-44-barragan_nanettediaz-,barragan,1,D,-0.513,-1.915552841,nanette,CA,CA-44-barragan_nanette-,-0.806,-1.357,-0.795,CA44,67.78,321,-1.14,-1.14,NA,1,0,0,0,-1.22,-1.22213522,0.5,NA,NA,NA,-1.14,0.0093,31562,0,3676,NA,1,0,NA,-1.14,0.13,0.334,2020
477,Greg Raths,House,0,CA-45,CA-45-raths_greg-,raths,1,R,NA,NA,gregory,CA,CA-45-raths_gregory-,1.441,1.734,1.437,CA45,46.54,324,1.21,1.35,0.93,0.66,0,0,0,NA,1.034735001,0.5,0.93,0.0551,563,1.35,0.0127,13147,0,8883,NA,1,1,0.93,1.35,0.89,0.231,2020
478,Katie Porter,House,1,CA-45,CA-45-porter_katie-,porter,1,D,-0.173,-0.532110274,katherine,CA,CA-45-porter_katherine-,-1.094,-0.823,-1.084,CA45,53.46,325,-0.75,-0.83,-0.38,0.82,0,0,0,-0.45,-0.451457265,0.5,-0.38,0.0636,594,-0.83,0.0099,31116,0,374660,NA,1,0,-0.38,-0.83,0.23,-0.344,2020
479,James Waters,House,0,CA-46,CA-46-waters_james-,waters,1,R,NA,NA,james,CA,CA-46-waters_james-,1.883,NA,1.883,CA46,31.25,330,1.04,NA,1.04,0,0,0,0,NA,1.034735001,0.5,1.04,0.0453,896,NA,NA,NA,0,NA,NA,1,1,1.04,NA,0.85,0.843,2020
480,Lou Correa,House,1,CA-46,CA-46-correa_lou-,correa,1,D,-0.279,-1.214473421,jose,CA,CA-46-correa_jose-,-0.358,-0.992,-0.379,CA46,68.75,331,-1.02,-1.02,-1.01,0.63,0,0,0,-0.83,-0.834529353,0.5,-1.01,0.1135,273,-1.02,0.0222,5573,0,367,NA,1,0,-1.01,-1.02,0.15,0.662,2020
481,Alan Lowenthal,House,1,CA-47,CA-47-lowenthal_alan-,lowenthal,1,D,-0.45,-1.866319716,alan,CA,CA-47-lowenthal_alan-,-0.693,-1.246,-0.685,CA47,63.27,334,-1.27,-1.27,-1.27,0.92,0,0,0,-1.2,-1.197562335,0.5,-1.27,0.0902,253,-1.27,0.0082,35776,0,990,NA,1,0,-1.27,-1.27,0.1,0.577,2020
482,John Briscoe,House,0,CA-47,CA-47-briscoe_john-,briscoe,1,R,NA,NA,john,CA,CA-47-briscoe_john-,1.581,NA,1.61,CA47,36.73,337,1.22,1.66,0.99,0.34,0,0,0,NA,1.034735001,0.5,0.99,0.0419,1287,1.66,0.0148,7811,0,NA,NA,1,1,0.99,1.66,0.89,0.361,2020
483,Harley Rouda,House,1,CA-48,CA-48-rouda_harley-,rouda,1,D,-0.327,-0.627191595,harley,CA,CA-48-rouda_harley-,-0.94,-0.929,-0.94,CA48,48.94,341,-0.56,-0.66,-0.18,0.8,0,0,0,-0.49,-0.487768404,0.5,-0.18,0.0614,512,-0.66,0.011,23858,0,78107,15472,1,0,-0.18,-0.66,0.29,-0.38,2020
484,Michelle Steel,House,0,CA-48,CA-48-steel_michelle-,steel,1,R,NA,NA,michelle,CA,CA-48-steel_michelle-,1.392,0.806,1.388,CA48,51.06,344,0.96,1.02,0.86,0.64,0,0,0,NA,1.034735001,0.5,0.86,0.061,516,1.02,0.0152,10609,0,14825,NA,1,1,0.86,1.02,0.83,0.432,2020
485,Brian Maryott,House,0,CA-49,CA-49-maryott_brian-,maryott,1,R,NA,NA,brian,CA,CA-49-maryott_brian-,1.359,1.139,1.359,CA49,46.87,346,1.11,1.31,0.96,0.44,0,0,0,NA,1.034735001,0.5,0.96,0.0475,913,1.31,0.0161,8416,0,4028,NA,1,1,0.96,1.31,0.87,0.249,2020
486,Mike Levin,House,1,CA-49,CA-49-levin_mike-,levin,1,D,-0.386,-1.061380809,mike,CA,CA-49-levin_mike-,-0.975,-0.941,-0.979,CA49,53.13,347,-0.74,-0.67,-0.79,0.45,0,0,0,-0.73,-0.730955698,0.5,-0.79,0.0275,4386,-0.67,0.0082,42508,0,112441,NA,1,0,-0.79,-0.67,0.23,-0.235,2020
487,Ammar Campa-Najjar,House,0,CA-50,CA-50-campa-najjar_ammar-,campa-najjar,1,D,NA,NA,ammar,CA,CA-50-campa-najjar_ammar-,-1.044,-0.981,-1.05,CA50,46.05,348,-0.76,-1.01,-0.68,0.24,0,0,0,NA,-0.870059059,0.5,-0.68,0.0232,6126,-1.01,0.0117,22808,0,46523,NA,1,0,-0.68,-1.01,0.22,-0.284,2020
488,Darrell Issa,House,0,CA-50,CA-50-issa_darrell-,issa,1,R,NA,NA,darrell,CA,CA-50-issa_darrell-,1.362,1.036,1.362,CA50,53.95,351,1.21,NA,1.21,0,0,1,0,1.71,1.71459427,0.5,1.21,0.0531,612,NA,NA,NA,0,NA,NA,1,1,1.21,NA,0.89,0.152,2020
489,Juan Hidalgo Jr.,House,0,CA-51,CA-51-hidalgojr_juan-,hidalgo,1,R,NA,NA,juan,CA,CA-51-hidalgo_juan-,1.41,1.276,1.466,CA51,31.69524454,358,1.18,NA,1.18,0,0,0,0,NA,1.034735001,0.5,1.18,0.0535,999,NA,NA,NA,0,NA,NA,1,1,1.18,NA,0.88,0.23,2020
490,Juan Vargas,House,1,CA-51,CA-51-vargas_juan-,vargas,1,D,-0.398,-1.855260397,juan,CA,CA-51-vargas_juan-,-0.107,-1.114,-0.208,CA51,68.3,359,-1.13,-1,-1.3,0.55,0,0,0,-1.19,-1.186515324,0.5,-1.3,0.0692,517,-1,0.0192,7512,0,NA,24939,1,0,-1.3,-1,0.13,1.023,2020
491,Jim DeBello,House,0,CA-52,CA-52-debello_jim-,debello,1,R,NA,NA,james,CA,CA-52-debello_james-,1.074,0.942,1.07,CA52,38.42,360,1.11,1.44,1.09,0.06,0,0,0,NA,1.034735001,0.5,1.09,0.0528,831,1.44,0.0567,599,0,308,NA,1,1,1.09,1.44,0.87,-0.036,2020
492,Scott Peters,House,1,CA-52,CA-52-peters_scott-,peters,1,D,-0.178,-0.649246363,scott,CA,CA-52-peters_scott-,-0.824,-0.801,-0.82,CA52,61.58,363,-0.51,-0.66,-0.41,0.41,0,0,0,-0.51,-0.511653143,0.5,-0.41,0.0245,4661,-0.66,0.0091,37478,0,11877,NA,1,0,-0.41,-0.66,0.31,-0.314,2020
