row,candidate,chamber,incumbent,stateDist,candStem,lname,generalElec,party,nominateAdj,duckM,fname,state,candStemDIME,recipient.cfscore,dwdime,recipient.cfscore.dyn,district,gen.vote.pct,...1,avgIdeal,idealTwitter,idealWeb,twWeight,liberal,conservative,moderate,thetaExternal,thetaStart,sigmaStart,idealWebLibcon,seThetaWebLibcon,wordCountWebLibcon,idealTwitterLibcon,seThetaTwitterLibcon,wordCountTwitterLibcon,partyLeader,followersCampaign,followersOfficial,house,rep,webIdeal,twIdeal,prob,diff,year
21,Chuck Grassley,Senate,1,IA-Sen03,IA-Sen03-grassley_chuck-,grassley,1,R,0.353,NA,charles,IA,IA-Sen03-grassley_charles-,1.008,0.796,1.191,IAS22,NA,323,0.72,0.73,0.71,0.72,0,0,0,0.79,0.785729462,0.5,0.71,0.034,1226,0.73,0.0071,35579,0,NA,NA,0,1,0.71,0.73,0.76,0.288,2022
22,Michael Franken,Senate,0,IA-Sen03,IA-Sen03-franken_michael-,franken,1,D,NA,NA,michael,IA,IA-Sen03-franken_michael-,-0.99,-0.971,-0.994,IAS22,NA,752,-1.01,-1.06,-0.91,0.64,0,0,0,NA,-0.940019876,0.5,-0.91,0.0552,1081,-1.06,0.0142,21107,0,NA,NA,0,0,-0.91,-1.06,0.16,0.02,2022
23,David Roth,Senate,0,ID-Sen03,ID-Sen03-roth_david-,roth,1,D,NA,NA,david,ID,ID-Sen03-roth_david-,-1.034,-1.171,-1.033,IDS22,NA,757,-1.14,-1.24,-0.93,0.67,0,0,0,NA,-0.940019876,0.5,-0.93,0.0686,575,-1.24,0.0169,12837,0,NA,NA,0,0,-0.93,-1.24,0.13,0.106,2022
24,Mike Crapo,Senate,1,ID-Sen03,ID-Sen03-crapo_mike-,crapo,1,R,0.498,NA,michael,ID,ID-Sen03-crapo_michael-,0.93,1.052,0.812,IDS22,NA,369,0.89,0.72,1.08,0.52,0,0,0,0.99,0.989354609,0.5,1.08,0.033,1246,0.72,0.0106,14841,0,NA,NA,0,1,1.08,0.72,0.81,0.04,2022
25,Kathy Salvi,Senate,0,IL-Sen03,IL-Sen03-salvi_kathy-,salvi,1,R,NA,NA,kathy,IL,IL-Sen03-salvi_kathy-,1.328,1.194,1.328,ILS22,NA,1751,0.94,1.05,0.83,0.48,0,0,0,NA,0.991787533,0.5,0.83,0.0441,796,1.05,0.0142,8134,0,NA,NA,0,1,0.83,1.05,0.83,0.388,2022
26,Tammy Duckworth,Senate,1,IL-Sen03,IL-Sen03-duckworth_tammy-,duckworth,1,D,-0.335,NA,l tammy,IL,IL-Sen03-duckworth_l tammy-,-1.023,-1.013,-1.039,ILS22,NA,285,-0.89,-0.95,-0.56,0.85,0,0,0,-0.84,-0.843271713,0.5,-0.56,0.0761,393,-0.95,0.0124,25169,0,NA,NA,0,0,-0.56,-0.95,0.19,-0.133,2022
27,Thomas McDermott,Senate,0,IN-Sen03,IN-Sen03-mcdermott_thomas-,mcdermott,1,D,NA,NA,thomas,IN,IN-Sen03-mcdermott_thomas-,-0.741,-0.896,-0.755,INS22,NA,808,-0.9,-0.97,-0.82,0.51,0,0,0,NA,-0.940019876,0.5,-0.82,0.0601,755,-0.97,0.0246,8637,0,NA,NA,0,0,-0.82,-0.97,0.18,0.159,2022
28,Todd Young,Senate,1,IN-Sen03,IN-Sen03-young_todd-,young,1,R,0.459,NA,todd,IN,IN-Sen03-young_todd-,1.171,1.019,1.158,INS22,NA,149,0.68,0.62,0.78,0.65,0,0,0,0.89,0.887542036,0.5,0.78,0.0386,980,0.62,0.0088,20349,0,NA,NA,0,1,0.78,0.62,0.75,0.491,2022
29,Jerry Moran,Senate,1,KS-Sen03,KS-Sen03-moran_jerry-,moran,1,R,0.418,NA,jerry,KS,KS-Sen03-moran_jerry-,1.063,0.949,1.006,KSS22,NA,340,0.68,0.65,0.76,0.68,0,0,0,0.89,0.887542036,0.5,0.76,0.0456,653,0.65,0.0099,15712,0,NA,NA,0,1,0.76,0.65,0.75,0.383,2022
30,Mark Holland,Senate,0,KS-Sen03,KS-Sen03-holland_mark-,holland,1,D,NA,NA,mark,KS,KS-Sen03-holland_mark-,-0.95,-0.981,-0.95,KSS22,NA,813,-0.94,-1.04,-0.84,0.48,0,0,0,NA,-0.940019876,0.5,-0.84,0.0447,1513,-1.04,0.0167,15597,0,NA,NA,0,0,-0.84,-1.04,0.17,-0.01,2022
31,Charles Booker,Senate,0,KY-Sen03,KY-Sen03-booker_charles-,booker,1,D,NA,NA,charles,KY,KY-Sen03-booker_charles-,-1.054,-1.092,-1.01,KYS22,NA,490,-1.42,-1.46,-1.37,0.56,1,0,0,-1.56,-1.555959728,0.5,-1.37,0.0337,1942,-1.46,0.0105,27871,0,NA,NA,0,0,-1.37,-1.46,0.08,0.366,2022
32,Rand Paul,Senate,1,KY-Sen03,KY-Sen03-paul_rand-,paul,1,R,0.881,NA,rand,KY,KY-Sen03-paul_rand-,1.352,1.924,1.411,KYS22,NA,482,1.46,1.41,1.53,0.6,0,0,0,1.5,1.498417477,0.5,1.53,0.0305,831,1.41,0.0091,13814,0,NA,NA,0,1,1.53,1.41,0.93,-0.108,2022
33,Chris Chaffee,Senate,0,MD-Sen03,MD-Sen03-chaffee_chris-,chaffee,1,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1851,NA,NA,NA,NA,0,0,0,NA,0.991787533,0.5,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,NA,NA,2022
34,Chris Van Hollen,Senate,1,MD-Sen03,MD-Sen03-vanhollen_chris-,vanhollen,1,D,-0.391,NA,chris,MD,MD-Sen03-vanhollen_chris-,-0.808,-1.171,-0.813,MDS22,NA,256,-1.02,-1,-1.05,0.6,0,0,0,-0.95,-0.945084287,0.5,-1.05,0.0443,1427,-1,0.0129,24065,0,NA,NA,0,0,-1.05,-1,0.15,0.212,2022
35,Eric Schmitt,Senate,0,MO-Sen03,MO-Sen03-schmitt_eric-,schmitt,1,R,NA,NA,eric,MO,MO-Sen03-schmitt_eric-,1.273,1.765,1.373,MOS22,NA,1925,1.39,1.5,1.06,0.75,0,0,0,NA,0.991787533,0.5,1.06,0.0427,757,1.5,0.0064,24801,0,NA,NA,0,1,1.06,1.5,0.92,-0.117,2022
36,Trudy Busch Valentine,Senate,0,MO-Sen03,MO-Sen03-busch-valentine_trudy-,busch-valentine,1,D,NA,NA,trudy,MO,MO-Sen03-busch-valentine_trudy-,-0.892,-0.911,-0.892,MOS22,NA,907,-0.94,-0.9,-0.95,0.24,0,0,0,NA,-0.940019876,0.5,-0.95,0.0333,2702,-0.9,0.0199,9778,0,NA,NA,0,0,-0.95,-0.9,0.17,0.048,2022
37,Cheri Beasley,Senate,0,NC-Sen03,NC-Sen03-beasley_cheri-,beasley,1,D,NA,NA,cheri,NC,NC-Sen03-beasley_cheri-,-0.988,-0.958,-0.996,NCS22,NA,964,-0.97,-0.81,-1.12,0.47,0,0,0,NA,-0.940019876,0.5,-1.12,0.0378,1757,-0.81,0.0151,17453,0,NA,NA,0,0,-1.12,-0.81,0.17,-0.018,2022
38,Ted Budd,Senate,1,NC-Sen03,NC-Sen03-budd_ted-,budd,1,R,0.654,2.245102124,theodore,NC,NC-Sen03-budd_theodore-,1.458,1.551,1.46,NCS22,NA,437,1.28,1.18,1.41,0.58,0,1,0,1.5,1.498417477,0.5,1.41,0.0295,1045,1.18,0.0092,16235,0,NA,NA,0,1,1.41,1.18,0.9,0.178,2022
39,John Hoeven,Senate,1,ND-Sen03,ND-Sen03-hoeven_john-,hoeven,1,R,0.374,NA,john,ND,ND-Sen03-hoeven_john-,1.091,0.858,0.889,NDS22,NA,329,0.51,0.48,0.55,0.62,0,0,0,0.79,0.785729462,0.5,0.55,0.0418,707,0.48,0.0102,12932,0,NA,NA,0,1,0.55,0.48,0.69,0.581,2022
40,Katrina Christiansen,Senate,0,ND-Sen03,ND-Sen03-christiansen_katrina-,christiansen,1,D,NA,NA,katrina,ND,ND-Sen03-christiansen_katrina-,-1.024,-1.063,-0.969,NDS22,NA,975,-1.12,-1.16,-1.09,0.39,0,0,0,NA,-0.940019876,0.5,-1.09,0.0431,1751,-1.16,0.0182,12679,0,NA,NA,0,0,-1.09,-1.16,0.13,0.096,2022
41,Donald Bolduc,Senate,0,NH-Sen03,NH-Sen03-bolduc_donald-,bolduc,1,R,NA,NA,donald,NH,NH-Sen03-bolduc_donald-,1.438,1.715,1.449,NHS22,NA,2027,1.1,1.1,NA,1,0,0,0,NA,0.991787533,0.5,NA,NA,NA,1.1,0.0091,18688,0,NA,NA,0,1,NA,1.1,0.86,0.338,2022
42,Margaret Hassan,Senate,1,NH-Sen03,NH-Sen03-hassan_margaret-,hassan,1,D,-0.231,NA,margaret,NH,NH-Sen03-hassan_margaret-,-1.004,-0.927,-1.012,NHS22,NA,309,-0.3,-0.18,-0.42,0.49,0,0,0,-0.54,-0.537833993,0.5,-0.42,0.0251,2346,-0.18,0.0094,24873,0,NA,NA,0,0,-0.42,-0.18,0.38,-0.704,2022
43,Adam Laxalt,Senate,0,NV-Sen03,NV-Sen03-laxalt_adam-,laxalt,1,R,NA,NA,adam,NV,NV-Sen03-laxalt_adam-,1.417,1.62,1.445,NVS22,NA,1334,1.16,1.23,0.98,0.72,0,1,0,1.5,1.498417477,0.5,0.98,0.0428,825,1.23,0.0076,24163,0,NA,NA,0,1,0.98,1.23,0.88,0.257,2022
44,Catherine Cortez Masto,Senate,1,NV-Sen03,NV-Sen03-masto_catherine-,masto,1,D,-0.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,274,-0.52,-0.49,-0.56,0.52,0,0,0,-0.84,-0.843271713,0.5,-0.56,0.0286,2827,-0.49,0.0096,33905,0,NA,NA,0,0,-0.56,-0.49,0.3,NA,2022
45,Charles Schumer,Senate,1,NY-Sen03,NY-Sen03-schumer_charles-,schumer,1,D,-0.357,NA,charles,NY,NY-Sen03-schumer_charles-,-0.614,-1.071,-0.651,NYS22,NA,275,-1.1,-1.16,-1,0.65,0,0,0,-0.84,-0.843271713,0.5,-1,0.0422,1657,-1.16,0.0103,35163,0,NA,NA,0,0,-1,-1.16,0.14,0.486,2022
46,Joe Pinion,Senate,0,NY-Sen03,NY-Sen03-pinion_joe-,pinion,1,R,NA,NA,joseph,NY,NY-Sen03-pinion_joseph-,1.426,1.199,1.426,NYS22,NA,2127,1.26,1.36,0.99,0.73,0,0,0,NA,0.991787533,0.5,0.99,0.0668,293,1.36,0.0122,8950,0,NA,NA,0,1,0.99,1.36,0.9,0.166,2022
47,J.D. Vance,Senate,0,OH-Sen03,OH-Sen03-vance_jd-,vance,1,R,NA,NA,j,OH,OH-Sen03-vance_j-,1.548,1.768,1.541,OHS22,NA,1313,1.23,1.46,1.01,0.49,0,1,0,1.5,1.498417477,0.5,1.01,0.0386,992,1.46,0.0099,10701,0,NA,NA,0,1,1.01,1.46,0.89,0.318,2022
48,Tim Ryan,Senate,0,OH-Sen03,OH-Sen03-ryan_tim-,ryan,1,D,NA,NA,timothy,OH,OH-Sen03-ryan_timothy-,-0.733,-1.158,-0.742,OHS22,NA,1069,-1.03,-1.03,NA,1,0,0,0,NA,-0.940019876,0.5,NA,NA,NA,-1.03,0.0108,33177,0,NA,NA,0,0,NA,-1.03,0.15,0.297,2022
49,Kendra Horn,Senate,0,OK-Sen02_2022,OK-Sen02-horn_kendra-,horn,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1075,-0.85,-0.88,-0.78,0.71,0,0,0,NA,-0.940019876,0.5,-0.78,0.1067,243,-0.88,0.0258,6545,0,NA,NA,0,0,-0.78,-0.88,0.2,NA,2022
50,Markwayne Mullin,Senate,1,OK-Sen02_2022,OK-Sen02-mullin_markwayne-,mullin,1,R,0.533,1.973995853,NA,NA,NA,NA,NA,NA,NA,NA,386,1.08,1.06,1.12,0.71,0,0,0,NA,0.991787533,0.5,1.12,0.0401,817,1.06,0.0081,22705,0,NA,NA,0,1,1.12,1.06,0.86,NA,2022
51,James Lankford,Senate,1,OK-Sen03,OK-Sen03-lankford_james-,lankford,1,R,0.605,NA,james,OK,OK-Sen03-lankford_james-,1.138,1.254,1.093,OKS22,NA,416,1.18,1.23,1.14,0.5,0,0,0,1.09,1.091167183,0.5,1.14,0.0234,2445,1.23,0.0071,27042,0,NA,NA,0,1,1.14,1.23,0.88,-0.042,2022
52,Madison Horn,Senate,0,OK-Sen03,OK-Sen03-horn_madison-,horn,1,D,NA,NA,madison,OK,OK-Sen03-horn_madison-,-0.826,-0.872,-0.826,OKS22,NA,1080,-0.9,-0.92,-0.89,0.27,0,0,0,NA,-0.940019876,0.5,-0.89,0.0307,3156,-0.92,0.0186,12883,0,NA,NA,0,0,-0.89,-0.92,0.18,0.074,2022
53,Jo Rae Perkins,Senate,0,OR-Sen03,OR-Sen03-perkins_jorae-,perkins,1,R,NA,NA,jo,OR,OR-Sen03-perkins_jo-,1.535,1.501,1.551,ORS22,NA,2209,0.86,1.48,0.75,0.15,0,0,0,NA,0.991787533,0.5,0.75,0.0425,941,1.48,0.0252,1823,0,NA,NA,0,1,0.75,1.48,0.81,0.675,2022
54,Ron Wyden,Senate,1,OR-Sen03,OR-Sen03-wyden_ron-,wyden,1,D,-0.33,NA,ronald,OR,OR-Sen03-wyden_ronald-,-0.502,-0.981,-0.541,ORS22,NA,287,-0.76,-0.8,-0.63,0.77,0,0,0,-0.84,-0.843271713,0.5,-0.63,0.0737,520,-0.8,0.0143,19402,0,NA,NA,0,0,-0.63,-0.8,0.22,0.258,2022
55,John Fetterman,Senate,0,PA-Sen03,PA-Sen03-fetterman_john-,fetterman,1,D,NA,NA,john,PA,PA-Sen03-fetterman_john-,-1.072,-0.953,-1.075,PAS22,NA,514,-1.31,-1.34,-1.14,0.84,0,0,0,NA,-0.940019876,0.5,-1.14,0.0731,542,-1.34,0.0106,32057,0,NA,NA,0,0,-1.14,-1.34,0.1,0.238,2022
56,Mehmet Oz,Senate,0,PA-Sen03,PA-Sen03-oz_mehmet-,oz,1,R,NA,NA,mehmet,PA,PA-Sen03-oz_mehmet-,1.467,1.389,1.465,PAS22,NA,1336,1.05,1.14,0.9,0.62,0,1,0,1.5,1.498417477,0.5,0.9,0.0415,989,1.14,0.0091,17869,0,NA,NA,0,1,0.9,1.14,0.85,0.417,2022
57,Catherine Fleming Bruce,Senate,0,SC-Sen03,SC-Sen03-bruce_catherine-,bruce,1,D,NA,NA,catherine,SC,SC-Sen03-bruce_catherine-,-1.029,-1.171,-1.029,SCS22,NA,1131,-1.27,-1.35,-1.14,0.63,0,0,0,NA,-0.940019876,0.5,-1.14,0.0424,1494,-1.35,0.0119,27904,0,NA,NA,0,0,-1.14,-1.35,0.1,0.241,2022
58,Tim Scott,Senate,1,SC-Sen03,SC-Sen03-scott_tim-,scott,1,R,0.629,NA,timothy,SC,SC-Sen03-scott_timothy-,1.315,1.424,1.336,SCS22,NA,426,0.88,0.84,1.09,0.84,0,0,0,1.09,1.091167183,0.5,1.09,0.0562,372,0.84,0.0085,22393,0,NA,NA,0,1,1.09,0.84,0.81,0.435,2022
59,Brian Bengs,Senate,0,SD-Sen03,SD-Sen03-bengs_brian-,bengs,1,D,NA,NA,brian,SD,SD-Sen03-bengs_brian-,-0.999,-1.094,-0.999,SDS22,NA,1134,-1.09,-1.15,-0.92,0.72,0,0,0,NA,-0.940019876,0.5,-0.92,0.0728,643,-1.15,0.0149,18695,0,NA,NA,0,0,-0.92,-1.15,0.14,0.091,2022
60,John Thune,Senate,1,SD-Sen03,SD-Sen03-thune_john-,thune,1,R,0.425,NA,john,SD,SD-Sen03-thune_john-,1.211,0.979,1.083,SDS22,NA,343,0.78,0.78,NA,1,0,0,0,0.89,0.887542036,0.5,NA,NA,NA,0.78,0.0103,14680,0,NA,NA,0,1,NA,0.78,0.78,0.431,2022
61,Evan McMullin,Senate,0,UT-Sen03,UT-Sen03-mcmullin_evan-,mcmullin,1,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,0.19,0.27,0.04,0.64,0,0,1,NA,0,0.5,0.04,0.0393,1113,0.27,0.0273,21687,0,NA,NA,0,0,0.04,0.27,0.58,NA,2022
62,Mike Lee,Senate,1,UT-Sen03,UT-Sen03-lee_mike-,lee,1,R,0.883,NA,mike,UT,UT-Sen03-lee_mike-,1.393,1.854,1.346,UTS22,NA,483,1.23,1,1.36,0.35,0,0,0,1.5,1.498417477,0.5,1.36,0.0281,1328,1,0.014,7954,0,NA,NA,0,1,1.36,1,0.89,0.163,2022
63,Gerald Malloy,Senate,0,VT-Sen03,VT-Sen03-malloy_gerald-,malloy,1,R,NA,NA,gerald,VT,VT-Sen03-malloy_gerald-,1.364,1.439,1.392,VTS22,NA,2416,1.18,1.18,NA,1,0,0,0,NA,0.991787533,0.5,NA,NA,NA,1.18,0.0192,3742,0,NA,NA,0,1,NA,1.18,0.88,0.184,2022
64,Peter Welch,Senate,0,VT-Sen03,VT-Sen03-welch_peter-,welch,1,D,NA,NA,peter,VT,VT-Sen03-welch_peter-,-0.973,-1.15,-0.937,VTS22,NA,1222,-1.12,-1.04,-1.17,0.41,0,0,0,NA,-0.940019876,0.5,-1.17,0.0308,2674,-1.04,0.0135,20640,0,NA,NA,0,0,-1.17,-1.04,0.13,0.147,2022
65,Patty Murray,Senate,1,WA-Sen03,WA-Sen03-murray_patty-,murray,1,D,-0.352,NA,patty,WA,WA-Sen03-murray_patty-,-0.907,-1.008,-0.971,WAS22,NA,277,-1.06,-1.09,-0.77,0.9,0,0,0,-0.84,-0.843271713,0.5,-0.77,0.0842,339,-1.09,0.0101,34648,0,NA,NA,0,0,-0.77,-1.09,0.14,0.153,2022
66,Tiffany Smiley,Senate,0,WA-Sen03,WA-Sen03-smiley_tiffany-,smiley,1,R,NA,NA,tiffany,WA,WA-Sen03-smiley_tiffany-,1.489,1.316,1.489,WAS22,NA,2453,0.78,0.86,0.7,0.5,0,0,0,NA,0.991787533,0.5,0.7,0.0341,1259,0.86,0.0106,14349,0,NA,NA,0,1,0.7,0.86,0.78,0.709,2022
67,Mandela Barnes,Senate,0,WI-Sen03,WI-Sen03-barnes_mandela-,barnes,1,D,NA,NA,mandela,WI,WI-Sen03-barnes_mandela-,-1.036,-1.006,-1.037,WIS22,NA,499,-1.03,-1.19,-0.96,0.29,0,0,0,NA,-0.940019876,0.5,-0.96,0.0225,5181,-1.19,0.0125,23269,0,NA,NA,0,0,-0.96,-1.19,0.15,-0.006,2022
68,Ron Johnson,Senate,1,WI-Sen03,WI-Sen03-johnson_ron-,johnson,1,R,0.616,NA,ron,WI,WI-Sen03-johnson_ron-,1.516,1.518,1.53,WIS22,NA,421,1.23,1.25,1.08,0.89,0,0,0,1.19,1.192979756,0.5,1.08,0.0641,337,1.25,0.0066,31212,0,NA,NA,0,1,1.08,1.25,0.89,0.286,2022
69,Dan Sullivan,Senate,1,AK-Sen02,AK-Sen02-sullivan_dan-,sullivan,0,R,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,0.85,0.85,NA,1,0,0,0,0.99,0.989354609,0.5,NA,NA,NA,0.85,0.0124,11036,0,NA,NA,0,1,NA,0.85,0.8,NA,2022
70,Buzz Kelley,Senate,0,AK-Sen03,AK-Sen03-kelley_buzz-,kelley,0,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1355,1.02,NA,1.02,0,0,0,0,NA,0.991787533,0.5,1.02,0.0655,409,NA,NA,NA,0,NA,NA,0,1,1.02,NA,0.85,NA,2022
